ticker,date,open,close
1617.T,2026-08-03,47710.0,47250.0
1617.T,2026-08-04,47700.0,46610.0
1617.T,2026-08-05,46720.0,47100.0
1617.T,2026-08-06,47380.0,48230.0
1617.T,2026-08-07,48540.0,48930.0
1618.T,2026-08-03,33000.0,32980.0
1618.T,2026-08-04,33100.0,32510.0
1618.T,2026-08-05,32450.0,32240.0
1618.T,2026-08-06,31970.0,32830.0
1618.T,2026-08-07,33510.0,33530.0
1619.T,2026-08-03,45380.0,45210.0
1619.T,2026-08-04,45300.0,45520.0
1619.T,2026-08-05,46200.0,46130.0
1619.T,2026-08-06,46350.0,46330.0
1619.T,2026-08-07,46210.0,45470.0
1620.T,2026-08-03,35930.0,36070.0
1620.T,2026-08-04,36180.0,36510.0
1620.T,2026-08-05,37210.0,37440.0
1620.T,2026-08-06,37740.0,37930.0
1620.T,2026-08-07,37510.0,37680.0
1621.T,2026-08-03,29190.0,28865.0
1621.T,2026-08-04,28760.0,28700.0
1621.T,2026-08-05,28745.0,28740.0
1621.T,2026-08-06,29240.0,29500.0
1621.T,2026-08-07,29500.0,30330.0
1622.T,2026-08-03,34210.0,33680.0
1622.T,2026-08-04,33780.0,33550.0
1622.T,2026-08-05,33890.0,33920.0
1622.T,2026-08-06,33930.0,34720.0
1622.T,2026-08-07,34430.0,34700.0
1623.T,2026-08-03,59200.0,58850.0
1623.T,2026-08-04,59910.0,61530.0
1623.T,2026-08-05,63530.0,65830.0
1623.T,2026-08-06,63850.0,63200.0
1623.T,2026-08-07,63200.0,64620.0
1624.T,2026-08-03,84220.0,85470.0
1624.T,2026-08-04,85470.0,87010.0
1624.T,2026-08-05,89990.0,87800.0
1624.T,2026-08-06,87800.0,87840.0
1624.T,2026-08-07,88200.0,87300.0
1625.T,2026-08-03,63500.0,62840.0
1625.T,2026-08-04,63840.0,63660.0
1625.T,2026-08-05,65800.0,66190.0
1625.T,2026-08-06,65190.0,64910.0
1625.T,2026-08-07,64560.0,64740.0
1626.T,2026-08-03,44110.0,44380.0
1626.T,2026-08-04,44400.0,43710.0
1626.T,2026-08-05,44210.0,44970.0
1626.T,2026-08-06,44490.0,45130.0
1626.T,2026-08-07,45280.0,45860.0
1627.T,2026-08-03,11525.0,11550.0
1627.T,2026-08-04,11515.0,11360.0
1627.T,2026-08-05,11360.0,11270.0
1627.T,2026-08-06,11255.0,11315.0
1627.T,2026-08-07,11350.0,11525.0
1628.T,2026-08-03,21515.0,21255.0
1628.T,2026-08-04,21155.0,20955.0
1628.T,2026-08-05,21010.0,20945.0
1628.T,2026-08-06,20815.0,21050.0
1628.T,2026-08-07,20960.0,21265.0
1629.T,2026-08-03,259.1000061035156,261.8999938964844
1629.T,2026-08-04,264.6000061035156,260.0
1629.T,2026-08-05,260.0,259.70001220703125
1629.T,2026-08-06,256.0,264.29998779296875
1629.T,2026-08-07,264.1000061035156,269.70001220703125
1630.T,2026-08-03,38400.0,38270.0
1630.T,2026-08-04,37810.0,37720.0
1630.T,2026-08-05,37660.0,37480.0
1630.T,2026-08-06,38110.0,38240.0
1630.T,2026-08-07,38340.0,38960.0
1631.T,2026-08-03,39390.0,39270.0
1631.T,2026-08-04,39320.0,38920.0
1631.T,2026-08-05,39270.0,39950.0
1631.T,2026-08-06,40100.0,40500.0
1631.T,2026-08-07,40850.0,40450.0
1632.T,2026-08-03,43080.0,42550.0
1632.T,2026-08-04,42500.0,42210.0
1632.T,2026-08-05,42590.0,43010.0
1632.T,2026-08-06,43010.0,43230.0
1632.T,2026-08-07,43180.0,43270.0
1633.T,2026-08-03,50480.0,48850.0
1633.T,2026-08-04,48850.0,48700.0
1633.T,2026-08-05,49320.0,48920.0
1633.T,2026-08-06,49270.0,49750.0
1633.T,2026-08-07,49750.0,50050.0
XLB,2026-08-03,50.7400016784668,51.0099983215332
XLB,2026-08-04,51.310001373291016,52.0
XLB,2026-08-05,52.59000015258789,52.63999938964844
XLB,2026-08-06,52.630001068115234,52.16999816894531
XLB,2026-08-07,52.34000015258789,52.86000061035156
XLC,2026-08-03,109.83000183105469,111.33999633789062
XLC,2026-08-04,110.53500366210938,112.04000091552734
XLC,2026-08-05,112.8949966430664,110.87000274658203
XLC,2026-08-06,111.18000030517578,111.18000030517578
XLC,2026-08-07,110.2699966430664,111.25
XLE,2026-08-03,58.689998626708984,58.790000915527344
XLE,2026-08-04,57.70000076293945,58.52000045776367
XLE,2026-08-05,58.77000045776367,57.310001373291016
XLE,2026-08-06,58.38999938964844,58.15999984741211
XLE,2026-08-07,57.529998779296875,57.5
XLF,2026-08-03,57.290000915527344,57.380001068115234
XLF,2026-08-04,57.220001220703125,57.880001068115234
XLF,2026-08-05,58.18000030517578,58.0
XLF,2026-08-06,58.380001068115234,57.810001373291016
XLF,2026-08-07,57.61000061035156,57.599998474121094
XLI,2026-08-03,180.4600067138672,183.16000366210938
XLI,2026-08-04,185.63999938964844,186.39999389648438
XLI,2026-08-05,186.5800018310547,186.35000610351562
XLI,2026-08-06,186.6999969482422,184.75999450683594
XLI,2026-08-07,185.4499969482422,185.17999267578125
XLK,2026-08-03,174.00999450683594,178.0399932861328
XLK,2026-08-04,182.52000427246094,186.89999389648438
XLK,2026-08-05,187.33999633789062,185.91000366210938
