ticker,date,open,close
1617.T,2026-09-18,48050.0,47400.0
1617.T,2026-09-24,47410.0,47540.0
1618.T,2026-09-18,37740.0,37300.0
1618.T,2026-09-24,37280.0,36760.0
1619.T,2026-09-18,45100.0,44690.0
1619.T,2026-09-24,44980.0,44980.0
1620.T,2026-09-18,36410.0,36400.0
1620.T,2026-09-24,36340.0,36780.0
1621.T,2026-09-18,29900.0,30710.0
1621.T,2026-09-24,30710.0,30260.0
1622.T,2026-09-18,34510.0,34320.0
1622.T,2026-09-24,34510.0,34280.0
1623.T,2026-09-18,62880.0,62770.0
1623.T,2026-09-24,63700.0,62890.0
1624.T,2026-09-18,82210.0,81800.0
1624.T,2026-09-24,81800.0,83100.0
1625.T,2026-09-18,62750.0,62910.0
1625.T,2026-09-24,63490.0,64340.0
1626.T,2026-09-18,50350.0,49820.0
1626.T,2026-09-24,49850.0,49030.0
1627.T,2026-09-18,13100.0,12760.0
1627.T,2026-09-24,12750.0,12405.0
1628.T,2026-09-18,22425.0,22300.0
1628.T,2026-09-24,22300.0,22000.0
1629.T,2026-09-18,284.5,280.79998779296875
1629.T,2026-09-24,281.79998779296875,275.8999938964844
1630.T,2026-09-18,35770.0,36400.0
1630.T,2026-09-24,35920.0,36110.0
1631.T,2026-09-18,41350.0,41320.0
1631.T,2026-09-24,41320.0,40680.0
1632.T,2026-09-18,44150.0,43860.0
1632.T,2026-09-24,44550.0,43080.0
1633.T,2026-09-18,48790.0,48550.0
1633.T,2026-09-24,49250.0,48760.0
XLB,2026-09-18,50.43000030517578,49.9900016784668
XLB,2026-09-21,50.130001068115234,49.709999084472656
XLB,2026-09-22,50.06999969482422,
XLB,2026-09-23,50.25,50.279998779296875
XLB,2026-09-24,50.13999938964844,49.68000030517578
XLC,2026-09-18,112.37000274658203,110.80999755859375
XLC,2026-09-21,111.62000274658203,114.75
XLC,2026-09-22,114.94999694824219,
XLC,2026-09-23,113.52999877929688,112.55999755859375
XLC,2026-09-24,112.51499938964844,113.98999786376953
XLE,2026-09-18,64.19999694824219,64.30999755859375
XLE,2026-09-21,63.16999816894531,62.459999084472656
XLE,2026-09-22,61.630001068115234,61.779998779296875
XLE,2026-09-23,62.18000030517578,62.369998931884766
XLE,2026-09-24,63.06999969482422,62.599998474121094
XLF,2026-09-18,55.65999984741211,55.86000061035156
XLF,2026-09-21,56.04999923706055,55.900001525878906
XLF,2026-09-22,56.0,54.79999923706055
XLF,2026-09-23,54.5,54.540000915527344
XLF,2026-09-24,54.61000061035156,54.529998779296875
XLI,2026-09-18,169.0,169.75
XLI,2026-09-21,170.36000061035156,169.97999572753906
XLI,2026-09-22,170.67999267578125,
XLI,2026-09-23,169.7100067138672,170.10000610351562
XLI,2026-09-24,168.75,168.8300018310547
XLK,2026-09-18,189.22999572753906,189.60000610351562
XLK,2026-09-21,191.7899932861328,194.85000610351562
XLK,2026-09-22,194.58999633789062,
XLK,2026-09-23,196.66000366210938,195.33999633789062
XLK,2026-09-24,193.0,194.7100067138672
XLP,2026-09-18,83.13999938964844,82.80000305175781
XLP,2026-09-21,82.0999984741211,81.91999816894531
XLP,2026-09-22,82.45999908447266,
XLP,2026-09-23,82.66000366210938,82.43000030517578
XLP,2026-09-24,82.91000366210938,81.69999694824219
XLRE,2026-09-18,42.59000015258789,42.529998779296875
XLRE,2026-09-21,42.349998474121094,42.59000015258789
XLRE,2026-09-22,42.58000183105469,
XLRE,2026-09-23,42.099998474121094,41.84000015258789
XLRE,2026-09-24,42.029998779296875,41.650001525878906
XLU,2026-09-18,41.380001068115234,41.099998474121094
XLU,2026-09-21,40.77000045776367,40.65999984741211
XLU,2026-09-22,40.59000015258789,
XLU,2026-09-23,40.380001068115234,39.75
XLU,2026-09-24,39.880001068115234,39.36000061035156
XLV,2026-09-18,168.27000427246094,168.38999938964844
XLV,2026-09-21,167.32000732421875,169.00999450683594
XLV,2026-09-22,168.7899932861328,
XLV,2026-09-23,169.92999267578125,168.8000030517578
XLV,2026-09-24,168.85000610351562,169.8699951171875
XLY,2026-09-18,111.45999908447266,111.02999877929688
XLY,2026-09-21,111.54000091552734,112.2300033569336
XLY,2026-09-22,112.9800033569336,
XLY,2026-09-23,111.70999908447266,110.6500015258789
XLY,2026-09-24,110.16000366210938,110.31999969482422
